title,author,genre,tropes,imageUrl,synopsis,rating,ratedBy
The Gods Themselves,Isaac Asimov,Science Fiction,"Parallel universe, Energy exchange, Three-gendered aliens, Hard SF",https://covers.openlibrary.org/b/id/8234959-L.jpg,An energy exchange with a parallel universe threatens both realities through three interconnected stories.,4.12,89234
Flowers for Algernon,Daniel Keyes,Science Fiction,"Intelligence enhancement, Medical experiment, Diary format, Tragedy",https://covers.openlibrary.org/b/id/8456977-L.jpg,A mentally disabled man undergoes experimental surgery to increase his intelligence with devastating results.,4.14,456789
The Stars My Destination,Alfred Bester,Science Fiction,"Teleportation, Revenge, Trans-human, Cyberpunk precursor",https://covers.openlibrary.org/b/id/8234913-L.jpg,A man left for dead in space seeks revenge in a world where people can teleport.,4.05,67890
Childhood's End,Arthur C. Clarke,Science Fiction,"Alien overlords, Human evolution, Golden age, Transcendence",https://covers.openlibrary.org/b/id/8234904-L.jpg,Benevolent aliens create utopia on Earth but have a hidden agenda for humanity's evolution.,3.98,178234
The Mote in God's Eye,Larry Niven & Jerry Pournelle,Science Fiction,"First contact, Alien biology, Asymmetric warfare, Trapped species",https://covers.openlibrary.org/b/id/8234908-L.jpg,Humanity encounters an alien species trapped in their star system with a dark evolutionary secret.,4.14,67890
A Fire Upon the Deep,Vernor Vinge,Science Fiction,"Zones of thought, Alien archaeology, Dog aliens, Singularity",https://covers.openlibrary.org/b/id/8234929-L.jpg,An ancient evil awakens in the galaxy while children crash on a medieval dog-alien world.,4.13,67890
The Uplift War,David Brin,Science Fiction,"Chimpanzee warriors, Alien occupation, Guerrilla war, Uplift universe",https://covers.openlibrary.org/b/id/8234968-L.jpg,Uplifted chimpanzees lead a guerrilla resistance against alien invaders.,4.05,23456
Gateway,Frederik Pohl,Science Fiction,"Alien artifacts, Lottery exploration, PTSD, Therapy framing",https://covers.openlibrary.org/b/id/8234912-L.jpg,Explorers use abandoned alien ships with unknown destinations for treasure hunting.,4,45678
Armor,John Steakley,Science Fiction,"Power armor, Bug aliens, War trauma, Dual narrative",https://covers.openlibrary.org/b/id/8456978-L.jpg,A soldier fights insectoid aliens in powered armor while another character investigates his legend.,4.14,34567
The Vor Game,Lois McMaster Bujold,Science Fiction,"Military, Political intrigue, Space opera, Miles Vorkosigan",https://covers.openlibrary.org/b/id/8456979-L.jpg,Miles Vorkosigan navigates military service and political conspiracy.,4.26,34567
Shards of Honor,Lois McMaster Bujold,Science Fiction,"Military romance, First contact, Enemies to lovers, Vorkosigan saga",https://covers.openlibrary.org/b/id/8456980-L.jpg,Two officers from opposing sides fall in love during an interplanetary war.,4.15,45678
Barrayar,Lois McMaster Bujold,Science Fiction,"Political intrigue, Pregnancy, Civil war, Sequel",https://covers.openlibrary.org/b/id/8456981-L.jpg,Cordelia protects her unborn son during a civil war on the militaristic planet Barrayar.,4.29,34567
